mineral name,chemistry,Al,Ca,Fe2+,Fe3+,Mg,Mn,O,Si,Ti4+,Sum,a,b,c,volume,P,T,crystal system,space group,citation text,notes
Ferrosilite,Fe Si O3,0,0,2,0,0,0,6,2,0,10,18.417,9.073,5.239,875.423,0 GPa,,orthorhombic,Pbca,Physics and Chemistry of Minerals 24 (1997) 301-310,
Donpeacorite,Mg1.47 Mn.53 Si2 O6,0,0,0,0,1.47,0.53,6,2,0,10,18.384,8.878,5.226,852.952,,,orthorhombic,Pbca,American Mineralogist 69 (1984) 472-480,
Ferrosilite,(Fe2+1.8Mg0.2)Si2O6,0,0,1.8,0,0.2,0,6,2,0,10,18.402,9.053,5.233,871.7,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Ferrosilite,Si2 Fe1.71 Mg.25 Ca.04 O6,0,0.04,1.71,0,0.25,0,6,2,0,10,18.405,9.0338,5.239,871.073,,,orthorhombic,Pbca,American Mineralogist 56 (1971) 850-876,
Ferrosilite,(Fe2+1.64Mg0.32Al0.02Ca0.02)(Si1.98Al0.02)O6,0.04,0.02,1.64,0,0.32,0,6,1.98,0,10,18.383,9.012,5.2344,867.17,0 GPa,,orthorhombic,Pbca,Physics of The Earth and Planetary Interiors 181 (2013) 2914-2917,Greenland
Ferrosilite,(Fe2+1.64Mg0.32Al0.02Ca0.02)Σ=2((Si1.98Al0.02)Σ=1O3)2,0.04,0.02,1.64,0,0.32,0,6,1.98,0,10,18.383,9.012,5.2344,867.17,,,orthorhombic,,R070386,Locality: Greenland
Ferrosilite,(Fe2+1.6Mg0.4)Si2O6,0,0,1.6,0,0.4,0,6,2,0,10,18.37,9.011,5.245,868.2,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Ferrosilite,(Fe2+1.5Mg0.5)Si2O6,0,0,1.5,0,0.5,0,6,2,0,10,18.362,9,5.234,864.9,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Ferrosilite,(Fe2+1.14Mg0.76Ca0.10)Si2O6,0,0.1,1.14,0,0.76,0,6,2,0,10,18.365,8.963,5.229,860.8,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Ferrosilite,(Fe2+1.2Mg0.8)Si2O6,0,0,1.2,0,0.8,0,6,2,0,10,18.321,8.958,5.219,856.6,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Ferrosilite,(Fe2+0.96Mg0.96Ca0.08)Si2O6,0,0.08,0.96,0,0.96,0,6,2,0,10,18.35,8.936,5.234,858.2,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Ferrosilite,(Fe2+Mg)Si2O6,0,0,1,0,1,0,6,2,0,10,18.31,8.931,5.219,853.5,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Enstatite,Si2 Mg1.15 Fe.807 Ca.043 O6,0,0.043,0.807,0,1.15,0,6,2,0,10,18.316,8.907,5.218,851.268,,,orthorhombic,Pbca,American Mineralogist 80 (1995) 923-929,
Enstatite,Si2 Fe.802 Mg1.155 Ca.043 O6,0,0.043,0.802,0,1.155,0,6,2,0,10,18.32,8.917,5.219,852.573,,,orthorhombic,Pbca,American Mineralogist 80 (1995) 923-929,
Enstatite,Mg1.93 Ca.07 Si2 O6,0,0.07,0,0,1.93,0,6,2,0,10,18.2588,8.8229,5.1899,836.07,0.0001 GPa,,orthorhombic,Pbca,American Mineralogist 91 (2006) 809-815,Locality: synthetic sample
Enstatite,Ca.07 Mg1.93 Si2 O6,0,0.07,0,0,1.93,0,6,2,0,10,18.268,8.836,5.196,838.718,,,orthorhombic,Pbca,European Journal of Mineralogy 15 (2003) 365-371,
Enstatite,Mg1.948 Ca.052 Si2 O6,0,0.052,0,0,1.948,0,6,2,0,10,18.28,8.834,5.197,839.24,,,orthorhombic,Pbca,American Mineralogist 73 (1988) 1255-1263,
Enstatite,Ca.04 Mg1.96 Si2 O6,0,0.04,0,0,1.96,0,6,2,0,10,18.262,8.826,5.192,836.849,,,orthorhombic,Pbca,European Journal of Mineralogy 15 (2003) 365-371,
Ferrosilite,Fe2+2Si2O6,0,0,2,0,0,0,6,2,0,10,18.431,9.08,5.238,876.7,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Ferrosilite,(Fe2+1.96Ca0.04)Si2O6,0,0.04,1.96,0,0,0,6,2,0,10,18.453,9.081,5.241,878.2,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Ferrosilite,(Fe2+1.92Ca0.08)Si2O6,0,0.08,1.92,0,0,0,6,2,0,10,18.473,9.076,5.242,878.9,,,orthorhombic,Pbca,American Mineralogist 58 (1973) 50-59,Locality: synthetic
Ferrosilite,Si2 Mg.636 Fe1.331 Ca.032 O6,0,0.032,1.331,0,0.636,0,6,2,0,9.999,18.337,8.971,5.232,860.67,,20 C,orthorhombic,Pbca,American Mineralogist 58 (1973) 636-648,
Enstatite,(Mg0.84Fe0.15)(Si0.99Al0.01)O3,0.02,0,0.31,0,1.69,0,6,1.98,0,10,18.2462,8.8429,5.1902,837.435,,,orthorhombic,,R040094,Locality: unknown
