mineral name,chemistry,Al,Ca,Cr,Fe2+,Fe3+,Mg,Mn,Na,Sc,Ti4+,V,Zr,Si,O,Sum,a,b,c,volume,x,y,z,P,T,crystal system,space group,citation text,notes,ID,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Si3 Al2 (Mg2.226 Ca.774) O12,2,0.774,0,0,0,2.226,0,0,0,0,0,0,3,12,20,11.567,11.567,11.567,1547.612,0.034,0.0481,0.6525, , ,cubic,Ia3d,American Mineralogist 78 (1993) 583-593, ,106,,,,,,,,,,,,,,,,,,,,,,
Uvarovite,Ca3.00(Cr1.15Al0.82Ti0.03)Σ=2((Si0.99Al0.01)Σ=1O4)3,0.85,3,1.15,0,0,0,0,0,0,0.03,0,0,2.97,12,20,11.9204,11.9204,11.9204,1693.84,0.0388,0.0466,0.6526, , ,cubic, ,R060477,"Locality: Saranovskiy mine, Sarany, Ural Mountains, Russia",50,,,,,,,,,,,,,,,,,,,,,,
Spessartine,Si3 Al2 (Mn2.61 Fe.39) O12,2,0,0,0.39,0,0,2.61,0,0,0,0,0,3,12,20,11.612,11.612,11.612,1565.745,0.0351,0.04766,0.65261, , ,cubic,Ia3d,American Mineralogist 56 (1971) 791-825,"Locality: Minas Gerais, Brazil",98,,,,,,,,,,,,,,,,,,,,,,
Pyrope,(Mg1.23 Fe1.08 Ca.69) (Al1.98 Cr.02) Si3 O12,1.98,0.69,0.02,1.08,0,1.23,0,0,0,0,0,0,3,12,20,11.6044,11.6044,11.6044,1562.673,0.0346,0.0478,0.6527, , ,cubic,Ia3d,European Journal of Mineralogy 24 (2012) 599-606,"Locality: inclusion in diamond, Jericho kimberlite, Slave Craton, Canada",99,,,,,,,,,,,,,,,,,,,,,,
Pyrope,(Mg1.23 Fe1.08 Ca.69) (Al1.98 Cr.02) Si3 O12,1.98,0.69,0.02,1.08,0,1.23,0,0,0,0,0,0,3,12,20,11.5826,11.5825,11.5826,1553.869,0.0346,0.0484,0.6527, , ,cubic,Ia3d,European Journal of Mineralogy 24 (2012) 599-606,"Locality: inclusion in diamond, Jericho kimberlite, Slave Craton, Canada",103,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.452,11.452,11.452,1501.91,0.0335,0.049,0.6527, ,293 K,cubic,Ia3d,American Mineralogist 77 (1992) 512-521, ,170,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Si3 Al2 (Mg2.412 Ca.588) O12,2,0.588,0,0,0,2.412,0,0,0,0,0,0,3,12,20,11.452,11.452,11.452,1501.91,0.0335,0.049,0.6527, , ,cubic,Ia3d,American Mineralogist 78 (1993) 583-593, ,171,,,,,,,,,,,,,,,,,,,,,,
Almandine,Fe3 Al2 Si3 O12,2,0,0,3,0,0,0,0,0,0,0,0,3,12,20,11.525,11.525,11.525,1530.815,0.03401,0.04901,0.65278, ,293 K,cubic,Ia3d,American Mineralogist 77 (1992) 512-521, ,125,,,,,,,,,,,,,,,,,,,,,,
Almandine,Fe3 Al2 Si3 O12,2,0,0,3,0,0,0,0,0,0,0,0,3,12,20,11.525,11.525,11.525,1530.815,0.03401,0.04901,0.65278, ,293 K,cubic,Ia3d,Physics and Chemistry of Minerals 19 (1992) 121-126, ,126,,,,,,,,,,,,,,,,,,,,,,
Almandine,Fe3 Al2 Si3 O12,2,0,0,3,0,0,0,0,0,0,0,0,3,12,20,11.525,11.525,11.525,1530.815,0.03401,0.04901,0.65278, ,293 K,cubic,Ia3d,Physics and Chemistry of Minerals 19 (1992) 121-126, ,127,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Si3 Al2 Mg3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4566,11.4566,11.4566,1503.721,0.0329,0.0501,0.6528, , ,cubic,Ia3d,American Mineralogist 78 (1993) 583-593, ,161,,,,,,,,,,,,,,,,,,,,,,
Almandine,(Ca.51 Fe1.431 Mn.039 Mg1.02) Al2 Si3 O12,2,0.51,0,1.431,0,1.02,0.039,0,0,0,0,0,3,12,20,11.565,11.565,11.565,1546.81,0.0343,0.0484,0.6529, , ,cubic,Ia3d,Physics and Chemistry of Minerals 22 (1995) 159-169,"Locality: metasedimentary rocks of the Ivrea-Verbano Zone, Italy",107,,,,,,,,,,,,,,,,,,,,,,
Almandine,Ca.24 Fe1.59 Mn.039 Mg1.119 Al1.99 Cr.01 Ti.01 Si3 O12,1.99,0.24,0.01,1.59,0,1.119,0.039,0,0,0.01,0,0,3,12,19.998,11.533,11.533,11.533,1534.005,0.0339,0.0489,0.6529, , ,cubic,Ia3d,Physics and Chemistry of Minerals 22 (1995) 159-169,"Locality: metasedimentary rocks of the Ivrea-Verbano Zone, Italy",118,,,,,,,,,,,,,,,,,,,,,,
Almandine,(Mg.6 Fe2.4) Al2 Si3 O12,2,0,0,2.4,0,0.6,0,0,0,0,0,0,3,12,20,11.516,11.516,11.516,1527.232,0.0339,0.0491,0.6529, ,293 K,cubic,Ia3d,American Mineralogist 77 (1992) 512-521, ,130,,,,,,,,,,,,,,,,,,,,,,
Almandine,Ca1.5 Fe1.76 Al1.8 Si2.94 O12,1.8,1.5,0,1.44,0.32,0,0,0,0,0,0,0,2.94,12,20,11.668,11.668,11.668,1588.507,0.041,0.049,0.653, , ,cubic,Ia3d,Zeitschrift fur Kristallographie 85 (1933) 392-403, ,89,,,,,,,,,,,,,,,,,,,,,,
Pyrope,(Mg1.8 Fe1.2) Al2 Si3 O12,2,0,0,1.2,0,1.8,0,0,0,0,0,0,3,12,20,11.485,11.485,11.485,1514.932,0.03337,0.04986,0.65306, ,293 K,cubic,Ia3d,American Mineralogist 77 (1992) 512-521, ,144,,,,,,,,,,,,,,,,,,,,,,
Grossular,Ca2.889 Fe.949 Mn.039 Al Ti.12 Si3 O12,1,2.889,0,0.179,0.77,0,0.039,0,0,0.12,0,0,3,12,19.997,11.967,11.967,11.967,1713.783,0.0387,0.0469,0.6532, , ,cubic,Ia3d,Physics and Chemistry of Minerals 22 (1995) 159-169,"Locality: Bric Canizzi, Liguria, Italy",42,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4573,11.4573,11.4573,1503.997,0.033,0.0503,0.6533, , ,cubic,Ia3d,American Mineralogist 85 (2000) 532-542, ,159,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4401,11.4401,11.4401,1497.233,0.0329,0.05061,0.65333, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,175,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Si3 Al2 Mg3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4544,11.4544,11.4544,1502.855,0.03295,0.05032,0.65334, ,300 K,cubic,Ia3d,American Mineralogist 80 (1995) 457-464, ,168,,,,,,,,,,,,,,,,,,,,,,
Grossular,Ca3 (Al1.338 Fe.662) Si3 O12,1.338,3,0,0,0.662,0,0,0,0,0,0,0,3,12,20,11.922,11.922,11.922,1694.523,0.03915,0.04764,0.65335, , ,cubic,Ia3d,Acta Crystallographica E61 (2005) i265-i267,"Locality: Diamantina, Minas Gerais, Brazil",49,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Si3 Al2 Mg3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.459,11.459,11.459,1504.666,0.03285,0.05015,0.65335, , ,cubic,Ia3d,American Mineralogist 56 (1971) 791-825,Locality: synthetic,158,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4572,11.4572,11.4572,1503.957,0.03302,0.0502,0.65336, ,295 K,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,160,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4425,11.4425,11.4425,1498.176,0.03294,0.0504,0.65337, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,174,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.456,11.456,11.456,1503.485,0.0328,0.0502,0.6534,1 bar, ,cubic,Ia3d,American Mineralogist 63 (1978) 297-303,Locality: synthetic,162,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4548,11.4548,11.4548,1503.012,0.03295,0.05044,0.6534, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,166,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4508,11.4508,11.4508,1501.438,0.03303,0.05037,0.65341, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,172,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4592,11.4592,11.4592,1504.745,0.03301,0.05015,0.65344, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,157,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4801,11.4801,11.4801,1512.993,0.03313,0.04987,0.65345, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,148,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3.05 Al1.9 Si3.05 O12,1.9,0,0,0,0,3.05,0,0,0,0,0,0,3.05,12,20,11.4666,11.4666,11.4666,1507.662,0.03278,0.05012,0.65345, , ,cubic,Ia3d,American Mineralogist 84 (1999) 1135-1143, ,155,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg2.85 Sc.3 Al2 Si2.85 O12,2,0,0,0,0,2.85,0,0,0.3,0,0,0,2.85,12,20,11.494,11.494,11.494,1518.496,0.0329,0.05061,0.65349, , ,cubic,Ia3d,American Mineralogist 91 (2006) 1230-1239,Locality: synthetic,137,,,,,,,,,,,,,,,,,,,,,,
Uvarovite,Si3 (Cr1.73 Al.21 Fe.05 Ti.01) (Ca2.991 Mn.009) O12,0.21,2.991,1.73,0.01,0.04,0,0.009,0,0,0.01,0,0,3,12,20,11.988,11.988,11.988,1722.821,0.03991,0.04737,0.6535, , ,cubic,Ia3d,American Mineralogist 56 (1971) 791-823,"Locality: Washington, Nevada Co, California, USA",39,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.445,11.445,11.445,1499.158,0.03298,0.05053,0.6535, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,173,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4641,11.4641,11.4641,1506.676,0.03303,0.0501,0.65351, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,156,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.496,11.496,11.496,1519.289,0.03314,0.04968,0.65356, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,135,,,,,,,,,,,,,,,,,,,,,,
Pyrope,(Mg2.4 Fe.6) Al2 Si3 O12,2,0,0,0.6,0,2.4,0,0,0,0,0,0,3,12,20,11.473,11.473,11.473,1510.188,0.03309,0.04999,0.65356, ,293 K,cubic,Ia3d,American Mineralogist 77 (1992) 512-521, ,152,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.473,11.473,11.473,1510.188,0.03309,0.04999,0.65356, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,153,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.5023,11.5023,11.5023,1521.788,0.03323,0.04949,0.65357, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,134,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4848,11.4848,11.4848,1514.852,0.03317,0.04982,0.65357, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,145,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.5195,11.5195,11.5195,1528.625,0.03325,0.04934,0.65359, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,129,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.4893,11.4893,11.4893,1516.634,0.03317,0.04966,0.65359, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,139,,,,,,,,,,,,,,,,,,,,,,
Almandine,Fe3.3 Al1.7 Si3 O12,1.7,0,0,3,0.3,0,0,0,0,0,0,0,3,12,20,11.5546,11.5546,11.5546,1542.641,0.0344,0.05,0.6536, , ,cubic,Ia3d,Physics and Chemistry of Minerals 21 (1994) 117-132, ,108,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.5078,11.5078,11.5078,1523.972,0.03321,0.04947,0.65363, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,133,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.5291,11.5291,11.5291,1532.45,0.03323,0.04926,0.65366, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,120,,,,,,,,,,,,,,,,,,,,,,
Almandine,(Fe2+2.15Mg0.60Mn0.11Fe3+0.06Ca0.08)Σ=3Al2.00((Si0.98Al0.02)Σ=1O4)3,2.06,0.08,0,2.15,0.06,0.6,0.11,0,0,0,0,0,2.94,12,20,11.5291,11.5291,11.5291,1532.45,0.03323,0.04926,0.65366, , ,cubic, ,R070129,"Locality: Wrangell, Wrangell Island, Wrangell-Petersburg Borough, Alaska, USA",121,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Si3 (Al1.34 Cr.66) (Mg2.64 Fe.36) O12,1.34,0,0.66,0.36,0,2.64,0,0,0,0,0,0,3,12,20,11.526,11.526,11.526,1531.214,0.03346,0.0507,0.65366, , ,cubic,Ia3d,American Mineralogist 56 (1971) 791-825,Locality: inclusioin in a Venezuelan diamond,123,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg2.625 Fe.355 Ca.09 Mn.015 Al1.352 Cr.572 Si2.988 O12,1.352,0.09,0.572,0.245,0.11,2.625,0.015,0,0,0,0,0,2.988,12,19.997,11.526,11.526,11.526,1531.214,0.03346,0.0507,0.65366, , ,cubic,Ia3d,American Mineralogist 55 (1970) 2124-2127, ,124,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.5244,11.5244,11.5244,1530.576,0.03328,0.04926,0.65366, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,128,,,,,,,,,,,,,,,,,,,,,,
Pyrope,Mg3 Al2 Si3 O12,2,0,0,0,0,3,0,0,0,0,0,0,3,12,20,11.469,11.469,11.469,1508.609,0.03309,0.05018,0.65367, , ,cubic,Ia3d,American Mineralogist 96 (2011) 1593-1605,Locality: synthetic,154,,,,,,,,,,,,,,,,,,,,,,
Andradite,Ca2.898 Mg.072 Mn.018 Fe1.321 Al.608 Si2.862 Zr.006 Ti.213 O12,0.608,2.898,0,0.087,1.234,0.072,0.018,0,0,0.213,0,0.006,2.862,12,19.998,12.01,12.01,12.01,1732.324,0.0385,0.0474,0.6537, , ,cubic,Ia3d,European Journal of Mineralogy 14 (2002) 785-794, ,35,,,,,,,,,,,,,,,,,,,,,,
