mineral name,chemistry,Al,B,Ca,Cr,K,Li,Mg,Mn,Na,Ni,O,Sc,Si,V,Fe2+,Fe3+,Zn,Ti4+,Ti3+,sum,a,b,c,β,volume,P,T,crystal system,space group,citation text,notes
Hedenbergite,(CaFe0.682Mg0.318)Si2O6,0,0,1,0,0,0,0.318,0,0,0,6,0,2,0,0.682,0,0,0,0,10,9.816,8.987,5.252,105.07,447.41,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 126
Hedenbergite,(Ca.949 Na.051) Fe Si2 O6,0,0,0.949,0,0,0,0,0,0.051,0,6,0,2,0,0.949,0.051,0,0,0,10,9.8354,9.0108,5.256,105.088,449.754,,298 K,monoclinic,C2/c,American Mineralogist 91 (2006) 1271-1292,Locality: synthetic
Hedenbergite,(CaFe0.682Mg0.318)Si2O6,0,0,1,0,0,0,0.318,0,0,0,6,0,2,0,0.682,0,0,0,0,10,9.816,8.991,5.253,105.1,447.61,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 16M
Hedenbergite,CaFe0.6707Mg0.3293Si2O6,0,0,1,0,0,0,0.329,0,0,0,6,0,2,0,0.671,0,0,0,0,10,9.821,8.994,5.247,105.13,447.39,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Di32.93Hd67.07
Hedenbergite,Ca (Zn.211 Fe.789) Si2 O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,0.789,0,0.211,0,0,10,9.8605,9.0304,5.269,105.138,452.894,,,monoclinic,C2/c,Physics and Chemistry of Minerals 32 (2005) 552-563,
Hedenbergite,(Ca1.00Fe0.70Mg0.30)Si2O6,0,0,1,0,0,0,0.3,0,0,0,6,0,2,0,0.7,0,0,0,0,10,9.821,8.992,5.251,105.18,447.6,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 70,50"
Hedenbergite,CaFe0.5670Mg0.4330Si2O6,0,0,1,0,0,0,0.433,0,0,0,6,0,2,0,0.567,0,0,0,0,10,9.809,8.985,5.249,105.28,446.33,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Di43.30Hd56.70
Hedenbergite,Si2 Fe1.3 Ca.7 O6,0,0,0.7,0,0,0,0,0,0,0,6,0,2,0,1.3,0,0,0,0,10,9.812,9.049,5.233,105.3,448.164,,,monoclinic,C2/c,American Mineralogist 60 (1975) 423-434,
Diopside,Si2 Mg Ca O6,0,0,1,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,10,9.612,8.765,5.1793,105.32,420.846,,,monoclinic,C2/c,American Mineralogist 66 (1981) 315-323,
Hedenbergite,(Ca1.00Fe0.60Mg0.40)Si2O6,0,0,1,0,0,0,0.4,0,0,0,6,0,2,0,0.6,0,0,0,0,10,9.813,8.982,5.251,105.32,445.5,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 60,50"
Diopside,(Mg.34 Fe.66) Ca Si2 O6,0,0,1,0,0,0,0.34,0,0,0,6,0,2,0,0.66,0,0,0,0,10,9.814,8.9959,5.2534,105.331,447.296,,,monoclinic,C2/c,The Canadian Mineralogist 28 (1990) 93-109,
Hedenbergite,Ca Zn.496 Fe.504 Si2 O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,0.504,0,0.496,0,0,10,9.8447,9.0175,5.2614,105.342,450.434,,,monoclinic,C2/c,Physics and Chemistry of Minerals 32 (2005) 552-563,
Hedenbergite,(Ca.85 Na.15) Fe Si2 O6,0,0,0.85,0,0,0,0,0,0.15,0,6,0,2,0,0.85,0.15,0,0,0,10,9.8067,8.9852,5.2886,105.356,449.369,,298 K,monoclinic,C2/c,American Mineralogist 91 (2006) 1271-1292,Locality: synthetic
Augite,(Ca0.80Fe1.20)Si2O6,0,0,0.8,0,0,0,0,0,0,0,6,0,2,0,1.2,0,0,0,0,10,9.821,9.042,5.242,105.38,448.8,,,monoclinic,C2/c,American Mineralogist 58 (1973) 50-59,"Synthetic 100,40"
Hedenbergite,Ca0.7883FeNa0.2117Si2O6,0,0,0.788,0,0,0,0,0,0.212,0,6,0,2,0,0.7883,0.2117,0,0,0,10,9.804,8.972,5.263,105.4,446.36,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Ae21.17Hd78.83
Hedenbergite,(CaFe0.523Mg0.477)Si2O6,0,0,1,0,0,0,0.477,0,0,0,6,0,2,0,0.523,0,0,0,0,10,9.802,8.976,5.254,105.4,445.69,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 186
Hedenbergite,Ca (Zn.587 Fe.413) Si2 O6,0,0,1,0,0,0,0,0,0,0,6,0,2,0,0.413,0,0.587,0,0,10,9.8369,9.0043,5.2605,105.435,449.14,,,monoclinic,C2/c,Physics and Chemistry of Minerals 32 (2005) 552-563,
Diopside,CaMg0.5339Fe0.4661Si2O6,0,0,1,0,0,0,0.534,0,0,0,6,0,2,0,0.466,0,0,0,0,10,9.804,8.971,5.253,105.46,445.3,,,monoclinic,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic: Di53.39Hd46.61
Hedenbergite,(CaFe0.523Mg0.477)Si2O6,0,0,1,0,0,0,0.477,0,0,0,6,0,2,0,0.523,0,0,0,0,10,9.801,8.974,5.248,105.46,444.92,,,monoclinic,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 167
