Sample,a,sig_a,b,sig_b,c,sig_c,beta,sig_beta,V,sig_V
Rocknest,9.767,0.022,8.924,0.013,5.263,0.011,106.47,0.21,440,1.5
Gobabeb,9.785,0.015,8.922,0.013,5.276,0.013,106.45,0.09,441.8,1.4
Windjana,9.744,0.009,8.925,0.011,5.258,0.01,106.36,0.06,438.7,0.9
Ogunquit Beach,9.729,0.044,8.907,0.022,5.268,0.012,106.82,0.35,436.9,3
