mineral,Al,Ca,Cr3+,Cr2+,Fe2+,Fe3+,K,Mg,Mn2+,Mn3+,Na,O,Si,Ti4+,sum,a,b,c,beta,V,reference
Pigeonite,0.016,0.191,0,0,0.848,0,0,0.919,0.029,0,0.003,6,1.984,0.01,10,9.706,8.94,5.246,108.504,431.671,American Mineralogist 90 (2005) 1816-1823
Enstatite,0,0.4,0,0,0,0,0,1.6,0,0,0,6,2,0,10,9.7042,8.8805,5.2423,108.084,429.455,The Canadian Mineralogist 43 (2005) 1411-1421
Pigeonite,0,0.2,0,0,0.9,0,0,0.9,0,0,0,6,2,0,10,9.703,8.947,5.238,108.57,431.1,American Mineralogist 58 (1973) 50-59
Clinoferrosilite,0,0,0,0,1.8,0,0,0.2,0,0,0,6,2,0,10,9.7011,9.0491,5.2321,108.556,435.43,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoferrosilite,0,0,0,0,1.6,0,0,0.4,0,0,0,6,2,0,10,9.6931,9.0199,5.2264,108.59,433.1,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoferrosilite,0,0,0,0,1.6,0,0,0.4,0,0,0,6,2,0,10,9.6913,9.0171,5.2263,108.598,432.87,Physics and Chemistry of Minerals 25 (1998) 249-258
Enstatite,0,0.23,0,0,0,0,0,1.77,0,0,0,6,2,0,10,9.69,8.862,5.229,108.31,426.295,European Journal of Mineralogy 14 (2002) 549-555
Pigeonite,0,0.16,0,0,0.92,0,0,0.92,0,0,0,6,2,0,10,9.689,8.93,5.232,108.53,429.2,American Mineralogist 58 (1973) 50-59
Clinoferrosilite,0,0,0,0,1.39,0,0,0.61,0,0,0,6,2,0,10,9.6868,8.9936,5.2218,108.611,431.13,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoferrosilite,0,0,0,0,1.42,0,0,0.58,0,0,0,6,2,0,10,9.6856,8.9964,5.2218,108.605,431.22,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoferrosilite,0,0,0,0,1.36,0,0,0.64,0,0,0,6,2,0,10,9.6846,8.9898,5.2209,108.627,430.73,Physics and Chemistry of Minerals 25 (1998) 249-258
Clinoferrosilite,0,0.1,0,0,1.14,0,0,0.76,0,0,0,6,2,0,10,9.684,8.958,5.227,108.62,429.7,American Mineralogist 58 (1973) 50-59
