mineral,Vac,Al,B,Ba,Ca,Cs,Fe3+,K,Mg,Mn2+,Na,O,Rb,Si,Sr,Ti4+,Sum,a,b,c,alpha,beta,gamma,V,crystal system,space group,reference
Albite,0,1.185,0,0,0.185,0,0,0.009,0,0,0.806,8,0,2.815,0,0,13,8.158,12.831,7.137,93.94,116.45,88.8,667.247,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.202,0,0,0.202,0,0,0.039,0,0,0.759,8,0,2.798,0,0,13,8.162,12.827,7.137,93.88,116.46,88.85,667.353,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.215,0,0,0.215,0,0,0.012,0,0,0.773,8,0,2.785,0,0,13,8.153,12.83,7.134,93.9,116.43,88.94,666.635,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.21,0,0,0.21,0,0,0.009,0,0,0.781,8,0,2.79,0,0,13,8.161,12.836,7.131,93.89,116.45,89.01,667.2,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.253,0,0,0.253,0,0,0.01,0,0,0.737,8,0,2.747,0,0,13,8.159,12.843,7.127,93.8,116.41,89.28,667.279,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.256,0,0,0.256,0,0,0.01,0,0,0.734,8,0,2.744,0,0,13,8.158,12.837,7.124,93.8,116.4,89.26,666.667,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.239,0,0,0.239,0,0,0.003,0,0,0.758,8,0,2.761,0,0,13,8.154,12.847,7.12,93.79,116.42,89.45,666.328,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.437,0,0,0.437,0,0,0.013,0,0,0.55,8,0,2.563,0,0,13,8.172,12.865,7.116,93.6,116.27,89.66,669.334,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.418,0,0,0.418,0,0,0.004,0,0,0.578,8,0,2.582,0,0,13,8.17,12.869,7.114,93.42,116.28,90.06,669.146,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Albite,0,1.478,0,0,0.478,0,0,0.002,0,0,0.52,8,0,2.522,0,0,13,8.166,12.851,7.113,93.61,116.26,89.64,667.888,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
