mineral,Vac,Al,Ca,Co2+,Cr3+,Fe2+,Fe3+,H,Li,Mg,Mn2+,O,Si,Ti4+,sum,a,b,c,V,reference
Enstatite,0,0.135,0.013,0,0,0.903,0,0,0,1.031,0.018,6,1.913,0.003,10.02,18.289,8.879,5.212,846.3,Physics and Chemistry of Minerals 15 (1987) 131-139
Enstatite,0,0.084,0.024,0,0,0.769,0,0,0,1.193,0.014,6,1.934,0.003,10.02,18.285,8.875,5.21,845.4,Physics and Chemistry of Minerals 15 (1987) 131-139
Ferrosilite,0,0.236,0.01,0,0,0.964,0,0,0,0.955,0.016,6,1.848,0.004,10.03,18.283,8.862,5.214,844.8,Physics and Chemistry of Minerals 15 (1987) 131-139
Enstatite,0,0.213,0.01,0,0,0.795,0,0,0,1.129,0.013,6,1.862,0.004,10.03,18.272,8.846,5.206,841.5,Physics and Chemistry of Minerals 15 (1987) 131-139
Enstatite,0,0.18,0.008,0,0,0.764,0,0,0,1.146,0.016,6,1.895,0.003,10.01,18.263,8.859,5.208,842.7,Physics and Chemistry of Minerals 15 (1987) 131-139
Enstatite,0,0.33,0.01,0,0,0.863,0,0,0,1.003,0.009,6,1.805,0.005,10.03,18.258,8.822,5.21,839.2,Physics and Chemistry of Minerals 15 (1987) 131-139
Enstatite,0,0,0,0,0,0,0,0,0,2,0,6,2,0,10,18.251,8.814,5.181,833.438,Physics and Chemistry of Minerals 22 (1995) 300-310
Ferrosilite,0,0,0,0,0,2,0,0,0,0,0,6,2,0,10,18.417,9.073,5.239,875.423,Physics and Chemistry of Minerals 24 (1997) 301-310
Enstatite,0,0,0,0,0,0.82,0,0,0,1.18,0,6,2,0,10,18.2974,8.904,5.2092,848.683,Physics and Chemistry of Minerals 24 (1997) 301-310
Enstatite,0,0.14,0.012,0,0,0.24,0,0,0,1.66,0,6,1.94,0,9.99,18.231,8.8095,5.1873,833.111,Physics and Chemistry of Minerals 24 (1997) 301-310
Enstatite,0,0,0,0,0,0.31,0.16,0,0.16,1.37,0,6,2,0,10,18.2369,8.8246,5.2076,838.077,Physics and Chemistry of Minerals 33 (2006) 475-483
Enstatite,0,0,0,0,0,0.29,0.17,0,0.17,1.37,0,6,2,0,10,18.2162,8.8194,5.2054,836.279,Physics and Chemistry of Minerals 33 (2006) 475-483
Enstatite,0,0,0,0,0,0.27,0.2,0,0.2,1.33,0,6,2,0,10,18.2113,8.8172,5.205,835.781,Physics and Chemistry of Minerals 33 (2006) 475-483
Enstatite,0,0.037,0.025,0,0.011,0.13,0.016,0,0,1.813,0,6,1.968,0,10,18.2429,8.8171,5.1894,834.712,Physics and Chemistry of Minerals 34 (2007) 185-200
Ferrosilite,0,0.04,0.02,0,0,1.64,0,0,0,0.32,0,6,1.98,0,10,18.383,9.012,5.2344,867.17,Physics of The Earth and Planetary Interiors 181 (2013) 2914-2917
Enstatite,0,0.02,0,0,0,0.3,0,0,0,1.68,0,6,2,0,10,18.2566,8.8467,5.1917,838.515,R040093
Enstatite,0,0.02,0,0,0,0.3,0,0,0,1.68,0,6,1.98,0,9.98,18.2462,8.8429,5.1902,837.435,R040094
Enstatite,0,0,0,0,0,0.2,0,0,0,1.8,0,6,2,0,10,18.24,8.8359,5.189,836.295,R050644
Enstatite,0,0.16,0,0,0,0.14,0,0,0,1.78,0,6,1.92,0,10,18.2136,8.771,5.1829,827.976,R060630
Donpeacorite,0,0,0.03,0,0,0,0,0,0,1.4,0.58,6,2,0,10.01,18.4,8.882,5.228,854.406,R060646
Enstatite,0,0.02,0,0,0,0.26,0.02,0,0,1.7,0.02,6,1.98,0,10,18.266,8.8505,5.1964,840.067,R060744
Enstatite,0,0,0,0,0,0.14,0,0,0,1.86,0,6,2,0,10,18.212,8.812,5.179,831.147,R070097
Ferrosilite,0,0.04,0.02,0,0,1.64,0,0,0,0.32,0,6,1.98,0,10,18.383,9.012,5.2344,867.17,R070386
Ferrosilite,0.01,0.04,0.04,0,0,0.96,0,0,0,0.94,0,6,2,0,9.99,18.317,8.917,5.2207,852.711,R070387
Enstatite,0,0,0,0,0,0.28,0,0,0,1.72,0,6,2,0,10,18.2539,8.8441,5.192,838.193,R070418
Enstatite,0,0,0,0,0,0.2,0,0,0,1.8,0,6,2,0,10,18.2496,8.8369,5.1914,837.217,R070550
Enstatite,0,0,0,0.264,0,0,0,0,0,1.562,0.174,6,2,0,10,18.246,8.839,5.196,837.992,The Canadian Mineralogist 15 (1977) 321-338
Enstatite,0,0,0,0,0,0,0,0,0,2,0,6,2,0,10,18.216,8.813,5.179,831.424,The Canadian Mineralogist 15 (1977) 321-338
Enstatite,0,0,0,0,0,0,0,0,0,2,0,6,2,0,10,18.21,8.812,5.178,830.896,Zeitschrift fur Kristallographie 129 (1969) 65-83
