mineral,Ca,Co2+,Fe2+,Mg,Mn2+,Ni,Zn,O,Si,a,b,c,V,space group,reference
Forsterite,0,0,0,1.4,0,0.6,0,4,1,4.745,10.1994,5.9607,288.475,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Forsterite,0,0,0,1.383,0,0.617,0,4,1,4.7452,10.1909,5.9583,288.131,Pbnm,American Mineralogist 74 (1989) 411-421
Forsterite,0,0,0,1.384,0,0.616,0,4,1,4.7453,10.1926,5.9559,288.069,Pbnm,American Mineralogist 74 (1989) 411-421
Forsterite,0,0,0,1.4,0,0.6,0,4,1,4.7454,10.1994,5.961,288.514,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Forsterite,0,0,0,1.4,0,0.6,0,4,1,4.7458,10.1986,5.9563,288.288,Pbnm,American Mineralogist 74 (1989) 411-421
Forsterite,0,0,0,1.403,0,0.597,0,4,1,4.7459,10.195,5.9559,288.173,Pbnm,American Mineralogist 74 (1989) 411-421
Forsterite,0,0,0,1.4,0,0.6,0,4,1,4.746,10.194,5.9568,288.194,Pbnm,American Mineralogist 86 (2001) 1170-1187
Forsterite,0,0,0,1.7,0,0.3,0,4,1,4.7461,10.2097,5.9719,289.376,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Forsterite,0,0,0,1.402,0,0.598,0,4,1,4.7466,10.2003,5.9556,288.351,Pbnm,American Mineralogist 74 (1989) 411-421
Forsterite,0,0,0.08,1.02,0,0.9,0,4,1,4.747,10.193,5.951,287.946,Pbnm,American Mineralogist 67 (1982) 1206-1211
Forsterite,0,0,0,1.5,0,0.5,0,4,1,4.7473,10.196,5.9597,288.47,Pbnm,American Mineralogist 86 (2001) 1170-1187
Forsterite,0,0,0,1.6,0,0.4,0,4,1,4.74737,10.2069,5.9679,289.18,Pbnm,American Mineralogist 86 (2001) 1170-1187
Forsterite,0,0,0,1.2,0,0.8,0,4,1,4.7481,10.2027,5.9578,288.616,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Forsterite,0,0,0,1.2,0,0.8,0,4,1,4.7482,10.2033,5.9577,288.635,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 1987 (1987) 97-106"
Forsterite,0,0,0,1.52,0,0.48,0,4,1,4.7485,10.1988,5.9627,288.77,Pbnm,Geochemical Journal 2 (1968) 51-59
Forsterite,0,0,0,1.6,0,0.4,0,4,1,4.7487,10.201,5.9678,289.089,Pbnm,American Mineralogist 86 (2001) 1170-1187
Fayalite,0,0,1.04,0,0,0.96,0,4,1,4.749,10.335,6.004,294.7,Pbnm,American Mineralogist 69 (1984) 164-164
Forsterite,0,0,0,2,0,0,0,4,1,4.749,10.19,5.98,289.5,Pbnm,American Mineralogist 61 (1976) 1280-1293
Forsterite,0,0,0.05,1.95,0,0,0,4,1,4.749,10.178,5.996,289.8,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0,2,0,0,0,4,1,4.749,10.1985,5.9792,289.589,Pbnm,American Mineralogist 72 (1987) 965-972
Forsterite,0,0,0,1.6,0,0.4,0,4,1,4.74955,10.2019,5.96718,289.136,Pbnm,American Mineralogist 86 (2001) 1170-1187
